,Response,Concrete
634,"I would check my mobile, landline, emails and WhatsApp to see if anyone had tried to contact me.  If some-one had done so I would then follow-up and contact the person who contacted me.  If no-one had done so I would then think about who I would like to contact siblings or friends and whom I would like to or who needed to be contacted.  Thirdly I would then think about how I would contact them ie message, phone, email or via messaging on WhatsApp.  Lastly I would then contact the person/s who I decided to contact by preferred method. Usually contacting 2 people makes me feel more connected and closer, especially if the contact time is longer than 20-30 minutes.",Medium
459,"- message old friends on Facebook
- do sudoko or jigsaw puzzle
- read a book
- watch a movie
- cuddle my pets
- call my boyfriend/see him",Medium
905,I would think about who I would like to interact with. Then I would text them and suggest meeting for a walk. I would arrange a time and place over text or call them to make arrangements. We would go for a walk and have a talk and make arrangements for another walk and talk. I would feel more connected with them.,Low
492,"I would start by thinking about what kind of connection would make me feel less isolated and lonely. I would reach out to several people at a time using the method that was most appropriate. I would start by texting or emailing my closest friends and relatives. I would telephone my sister. I would suggest a video call with my small niece and nephew. I would watch a YouTube clip or TV show that made me feel connected and interested, particularly if hosted by someone I like. I would bake something yummy, offer my partner or son a cuppa with the results, and have a chat with them. I would then be feeling very connected and closer to people. ",High
508,Would make a list of the people I would like to connect with then ph or e mail them to start a discussion how we can catch up and improve our relationship    Sitting in my rocker feeling despondent and lonely I decide to turn my life around I get up shower put nice clothes on and wander out side in to the sun shine I look around at my lovely garden and pick a bunch of lovely flowers and realise how lucky I am  I take photos of the flowers and send them to my new friends with a short note telling them how fortunate we all are to live in this lovely country and each day will during us a new  beginning and we can see the light in the tunnel,Medium
608,"I would make a list (mental or on paper) of who I would like to connect with. I would think about the type of person they are in relation to cheerful or practical or business-like. I would start by emailing a few of my friends on the list, I would text a few and I would think of calling one or two. Depending on the response from email and text I would call them. I would plan follow up calls and arrange meal catch ups for the near future when restrictions ease.",High
329,"1. Feeling isolated and lonely.
2. Get a shower, shampoo my hair, get dressed.
3. Go for a walk, have brief interactions with those I meet.
4. Phone a friend, or make an overseas video call.
5. Enquire after the welfare of the other person, compare notes.
6. Share thoughts about the pros and cons of isolation.
7. Share thoughts about the pros and cons of government decisions.
8.  Concentrate of the positives about the future.
9.  Tell a funny story that you can share with the other person and have a laugh.
10. Now feeling closer and connected to people.
",Medium
661,"As it is a nice day, I would put on my exercise gear. I would need to step outside to grab my running shoes. I would take my time & go out onto the  footpath where I will eventually encounter other walkers. I would make sure I acknowledge all others keeping social distance principles. I maybe lucky to come across people I know but accept that it doesn't matter. I would walk for at least 20mins but as time isn't an issue I could walk longer. I would take into account the environment; smells, sounds. I would keep away from busy, noisy roads. I would walk until I at least have connected with someone & if that isn't possible share my experiences with my partner.",Low
867,"Text family and close friends to check when the can video chat 
Get ready for the video chat (have a shower, prepare some snacks or drinks)
Sit down in a comfortable place at home, check wifi connection and battery and get ready to talk with my love ones ",Low
448,"I am isolated and lonely because of lacking the skills to effectively do my job. I need to learn many new programs. Firstly I need to identify those that are most important. They are overwhelming. I need to list them and then tick off each one as I master it. I can do it. I will determine who in my workplace has already gained these skills and then ring or zoom them and ask for their assistance. I will record what they say so I can go back and check instead of ringing constantly. I will also offer to help others who I know are also struggling and feeling overwhelmed. I will talk to my friends about it. However, I know that many are in a worse situation than I am so I am reluctant to burden them with my concerns. I will play subliminal music while I am working to lift my mood. I am already connected to many people both professionally and personally. ",Low
312,"-Reach out to others (perhaps people that you haven't spoken to in a while to try and turn this event into a silver lining)
-Listen to the people who you do have face to face contact with (family, partner etc). Engage in meaningful conversation with them rather than continue to converse with others through devices.
-Enjoy the moments where you do connect with others and be in the moment when you are doing so, not thinking of the next task or wishing the conversation away.",High
223,"I live on my own and due to their busy lives, I don't often get to see my son, his wife and my grand-daughter, more particularly during Covid 19 times. I have expressed my disappointment to my son and we have agreed that I will meet them at least monthly.",Medium
859,"I'll contact my partner through FB messenger, my mum through whatsapp. That'll help me feel connected to people",High
7,"I would make a plan to walk/exercise with one friend at least 5 times a week. I would reach out to my work colleagues via instant messenging services and video calls. I would attend online Zoom meetings with a group of friends at least once a week. I would have regular, daily contact with my partner by video chat for at least an hour a day (he lives on the other side of the world). I would try and find time to be comfortable by myself by doing things I enjoy by myself like watching a new tv show. ",High
690,I would contact my best friend and explain how Iâ€™m feeling before getting out of bed so as to start the day off having cleared my mind. I would then visit my friend and just sit and chat for a few hours. Just sitting and chatting with him eases my mind. Leaving me feeling connected and closer to people.,Medium
413,I need to reply to friendâ€™s emails as soon as I receive them rather than putting it of. It looks like I donâ€™t care if I donâ€™t reply.  Reply to text messages too. Offer to take a turn at hosting the zoom meeting for my friends rather than sitting back and letting others organise. I will take the initiative to organise a lunch for two friends to reconnect. Hopefully I will keep the momentum going.,Medium
475,I would like to feel more connected to other people.  As I have recently started to teach myself to crochet as a way to deal with stress and anxiety I could look for local crochet groups to join so that when current restrictions are relaxed I could meet face to face with these groups at their morning teas so that I could feel more connected to the local community and closer to people,Low
967,I would reach out to other people perhaps send a text to find out how they are and start a conversation or go and visit an elderly friend and sit with her in the garden. I would call my mum and ask her if she wants to go for a walk or come over for a coffee. I prefer to interact with people one on one than a group. I feel happy when I have deep conversations with people.,Low
403,"I would start by making a list of the people I should contact.  Then because not all my family and friends are upbeat about the current state I would put them into buckets. I am would then schedule two or three times a day to contact people.  I would also chose people with various contact methods, some video, some email and some xrays phone.  ",Medium
451,"Feeling of being isolated and not talking to people as much. Plan to text and call more, not wait for people to contact me. When I think about someone, send them a text/message, not carry on the conversation in my head! Feeling of connection after the text/messaging. ",Medium
771,"I would reach out to family and friends via text or email, or try calling them, letting them know I'm thinking about them. I might tell them I'm feeling a bit down or lonely depending on the person and engage in some form of communication with them.",High
722,"I would start by making a list of people I am interested in feeling connected to more. Then I would be contacted them by email or text or social media to check-in to see how they are doing. Once I receive a response I would suggest a catch-up on a video chat and during that call explore options on how to meet up with the current restrictions or after restrictions have eased. After having reached out and connected with those people, I would feel connected and closer.",Low
629,"I would contact family members by phone and ask if they are available for a chat.
I would like to try and be positive about the virus situation and ask how family members are coping.
Make a date to call again in a couple of days and look forward to another chat.
",Low
212,"1) I would get up and get dressed
2) I would de clutter my thoughts by getting small task out of they way
3) I would ring my family and talk with them to make sure they are ok.
4) I would ring a friend to chat about nothing and everything
5) would discuss with my husband future plans and dreams.

Usually these are the thing that end up making me feel appreciated.

I simply would just take control of my own emotions, allowing myself to feel them",High
893,"Make a plan to contact family and friends at least once a week.
Contact family members on Wednesday.
Contact friends on Saturday.
Go shopping once a week, try to chat with at least one person while I'm out.
Make a point of responding to friends on social media who are also at home, social distancing.
Put my name down for volunteering opportunities in my area/community.",Medium
784,"I would telephone my good friends, if they were not available, I would attempt to phone mensline to talk about my feelings and have someone else besides my wife to clear things of my chest",Medium
677,"I was feeling isolated and lonely due to self isolation. I would think about why and come up with 5 reasons. I would think about my circumstances before self isolation and identify the differences. I would address each reason and find a solution about some of them and then implement as best I could, concentrating on those things related to interaction with people. after that I know I would feel connected and closer to people.",High
865,"Firstly I would ring one of my close friends and talk with them and listen carefully to what they had say. If this person wanted to discuss a worry I make a good sounding board, I would then offer to visit them to spend some time just chatting. At this time we would sit outside and have a coffee and just talk I would offer an opinion if asked or just offer support. By the end of a couple of coffees she would be feeling more relaxed and happy, I get a lot of satisfaction and enjoyment out of being there for my friends will be feeling much less disconnected and closer to my friend. ",Medium
1102,As soon as I can return to swimming and my volunteer work I will be much happier.,Low
734,"Think about my friends, family, neighbours and colleagues. Consider which ones I would most like to connect with, and which ones I have recently connected with. Decide how to connect with them. Make a cup of coffee, sit in my favourite chair with my dogs, and either phone, sms, or message several of them. Ask about their day, find out how theyâ€™re coping at present, and ask about their family. Tell them about my own experience of recent times, and tell them what Iâ€™m looking forward to, including seeing them. Afterwards, feeling relaxed, content, engaged and ready for the rest of the day.",Medium
159,"I feel lonely and isolated already as I live on my own. I think I would start with going on a walk, I do this and notice people and other things so I have something to talk about that has changed (ie my apartment). I then text my friends maybe a funny picture I saw on the internet or in real life so we can talk. I may talk about some of the things I saw and ask for their opinion and see what is going on in their life. 
Side effects of this include that 1 when the messaging and contact ends it feels a little quieter than before.
This also includes the assumption I can't see people face to face for now due to social distancing, and that I struggle with phone calls due to anxiety.",Low
1228,"If I was feeling isolated and lonely I would make contact with my daughters and talk to them either with Face Time or Video calls and comfort each other by discussing what we are doing to stay positive at home.  We have all done different things, like renovating, painting, cleaning, sorting etc and talking about what the issues are all over the world and agreeing that we are strong people and enjoying the peaceful atmosphere we have in our own homes.  Therefore, the end result is always feeling loved and connected.",Medium
761,"I would reach out to my friends who live in another state and ask them how they have been and if they wanted to catch up over facetime. Then I would contact my friends here because I have not seen them since the corona virus social distancing rules have been put in place and now that the restrictions are changing, I'd ask them if they wanted to catch up and grab a coffee or go for a walk with me along the beach. ",Medium
227,"i try to think of people to connect to and apart from my 2 brothers and 2 kids, can't think of anyone",Low
523,"There are a number of close friends interstate that I have not spoken to for many months.
I am wondering how their families, children,grandchildren are managing jobs and life in this strange bubble of time.
I would write a collective email to the various groups,old school friends,tennis group, old work mates, husband friends, etc
I would then follow up with a phone call, talking to an individual in the various groups to find out more intimate information.
I would feel connected and closer to people and if there is anything i can do to help either physically or having just having a chat to have a laugh and vent any frustrations.
Job done.",Low
323,I feel isolated and lonely. I text my friends to see if they can chat. If they can't I book in a time when they can. I ask my partner to go for a walk on the treadmill and exercise bike with me. If I don't feel better I ask my flatmates about their day. If I still feel lonely I text my counsellor and book in an appointment to catch up with her. I talk to my counsellor and she acknowledges my feelings and helps me come up with new plans to prevent this from reoccurring. I feel better having made plans and have spoken to my counsellor.,Low
331,"First of all I would think about what I need to complete today. If I hadn't done any exercise, I would go for a walk so I get go outside and see some different scenery. 
After my walk I would scroll through my contacts in my mobile phone and see who I have contacted and who I would like to have a chat with. 
After calling my friends and I would call them and ask what they have been up to etc. 
Then I would feel connected and be closer to people. ",Medium
609,"I am isolated from my partner due to Covid19 and feel extremely isolated some days not being able to physically see him cannot travel to him. I would make an effort to call, text or facetime him everyday. I constantly wait for restrictions to release to see whether I can travel in any way half way to spend a long weekend with my partner which gives me hope but also despair at times due to modes of transport.
I would also make time to call/text friends to see how they are going. Share photos of things happening in our families, and with our children. ",Medium
465,I take the time to send text messages to friends I have not been in touch with but whom I miss and normally enjoy chatting to. I invite people over to my home and I organize to meet up with friends. I call my family,High
815,"i would organise a trivia (zoom or other) type date with family or friends. pick a time and day suitable for everyone. organise team names (per family/household) and questions per round (each household has a turn) and everyone cooks their own dinner, brings drinks. and has a trivia night - bit of fun, some laughs and spending time loving family. ",Medium
1071,"I have dysphasia so i want to contact face to face with my family to give me joy
",Low
123,"It would start being with me in self-isolation and unable to enjoy face-to-face contact for 14 days. I would feel very alone and isolated but I would use technology to overcome the isolation. I would use apps such as whatsapp to message with my family and closest friends while I would organise a group video call with my five closest friends to talk every night. I would also find web-based versions of games such as scattergories and pictionary and play these while doing a group call with other friends. I think doing this would help me to feel included and I would enjoy them, I would still be laughing and having a good time. This helps me to feel like I still have a connection with my friends and I feel happier",Low
0,"I would come up with some possible suggestions of ways to connect  with friends and family that meet the social distancing rules such as video calls etc. I would  identify any specific celebrations such as birthdays coming up and think about ways to make the day special in a new kind of way. I would start making plans and scheduling in catch up times with friends and family via video conferencing. For things we would usually do regularly like family dinners instead maybe be could video conference together at the same usual time etc. This would not feel the same as we are used to and will be very different this will make us sad. Change can be difficult. We could look into online games we can play together that will make us laugh and have fun.  We still feel isolated as we cannot leave our house nor can we have visitors but  we are feeling connected with others. 
 
 ",High
848,"Message friends in the chat group
Arrange time for group call
Agree on day and time 
Send out reminder closer to the date and group call details
Send out reminder on the day 
Ensure I am on time to start the group video call
Feeling connect ",Medium
823,"If I feel abit lonely I organise  a zoom or FaceTime with friends or family. I would send a txt so as to confirm a time to make sure it happens. 
In a more practical way I baked muffins and took them around to a friend whose just come out of hospital. That makes me feel good that Iâ€™ve been useful and it has helped my friend.",High
144,"To be completely honest I don't think I could complete that story ending without social distancing measures being lifted. I've tried everything, including video calling people, phone calling, messaging etc. and nothing seems to get rid of the feeling of distance and isolation.",Low
720,I would reach out to my family first and gauge from their response if they want to engage with me. Iâ€™d go for walks just to stay connected with my community and I would also keep in contact with work colleagues. Just receiving a â€˜good morningâ€™ Or hello from anybody would make me feel connected.,High
42,"If I am feeling isolated and lonely, I stop and think about why (i.e. is it because I am tired or having a bad day with working at home or is it because I haven't spoken to anyone for a while).  If it's more to do with being tired etc. I might start by dealing with that first - go for a walk in the sunshine, watch something interesting on telly or perhaps have a nap. If it is because I haven't engaged with friends / family for a while I think about who is around and how best to engage with them.  I live by myself but am lucky that I can always speak to my parents on the phone or by email, and I connect with friends in different ways.  I try to actively keep track of when I last caught up with each of my close friends. Some of them are up for talking on the phone or by video call and some prefer text or email.  That gives me a variety of ways to keep in contact and minimise any feelings of isolation. I try to ensure that I connect with at least one friend each day in way that helps me feel connected and a way that they like.  My friends and family who live interstate and overseas seem to be more up for video chats than my Perth friends, so I have also found that I am having more regular video chats with those friends who I would usually just keep in contact with via Facebook posts.  Ironically we are feeling more connected at the moment than we usually do.  I also find that listening to local radio helps me feel connected to the community so if I am feeling isolated I might turn on ABC Perth just to catch up on some local news and conversation.",Medium
299,"1 I would start by smiling at people on the street when I go to the shops or doctor.
2 Then I would go for walk or runs when all other people do like 4 to 6 pm.
3 I would increase eye contact too on the third day.
4 I would ask an old friend ( or two) how she/he is doing (fb or text ).
5 I would try to comfort this old friend or another one because no one is doing great in this time.
6 I would schedule a face to face call for the next week with any person I know . Good friend, old friend , family ...
7 Keep this up for a few weeks until this is an habit .",High
432,"I would try to work out why I had these feelings. I would then make a plan to contact one or more people, for example my husband or my sister. I would suggest to my husband that we sit on the balcony and have a cup of tea at a time that suits. I would then make the tea, arrange nicely on a tray and sit with my husband and have a chat. My sister lives in Sydney-I would ring her and have a chat. Both these things would help me feel connected and closer to people.",Low
962,"Come up with a list of loved ones and connect with these people either via text or phone call.
Have a general chat about how they are doing and being open and honest about my feelings on a regular basis. 
Engaging in discussions on how much I am missing face to face contact with people.
The feeling once youâ€™ve had these conversations is very gratifying.",Medium
541,"I am feeling isolated and lonely. I will switch on the television or play music in the background so I feel less alone, as it helps me to imagine there are others in my home. It also reminds me of times when I am back in my home country with family with the television switched on and us having a good time together. These memories might make me feel a little sad and wistful but they can be quite comforting. 

I will scroll through my phone to see which messages from friends and family I have not responded to. I will estimate how much cognitive and emotional effort it would take to reply to each, and also consider the importance of these people to me, before deciding which people I will reply to first. I will likely feel stressed and tired at the thought of having to hold conversations even via text, but I will persist, knowing it is good for me and that it will bring me closer to people I care for. 

I might even schedule virtual meet ups with one or two close loved ones, to make sure I do not withdraw into my isolated shell, since scheduling these will mean I have to do it. I will probably be reluctant and worried that I might feel really unhappy at having to do so when the time comes around to carry out the meet ups because it is easier to be alone when I am down. But I am likely to convince myself to do it and not overthink things because again, I know this is beneficial for me. 

Having established some contact with people I care for, and having upcoming plans to enhance these connections, will help me to feel connected and closer to people. ",High
598,"1. Recognise that I am lonely.
2. Thoughts, what do I have in common with other people? Depression? Or do I just need to have a chat on a subject of interest? 
3. What organisations deal with this? Google the subject to find these organisations - PTSD. Beyond Blue has a forum let's join that.
4. Sign up for the online forum. 
5. Browse through the subjects, and put up a post about PTSD and how it is affecting me. 
Respond to other posts that I can relate to. 
6. Make a few online friends.",Medium
829,"Isolation can be depressing at times, to overcome this I decided to connect with a member of my family, friends & acquaintances, at least 1 each day that not only filled in time but also gave me a sense of connection. Family shared photos & stories on grandchildren. I shared photos if beautiful sunsets & things I thought my group would enjoy. This was helpful not only to me but also my circle, which made us all feel more connected.",Medium
977,"I would go through my contact list in my phone, social media application and e-mail and see who I hadnâ€™t contacted for a long time. Then I would text or send an e-mail to say hello and check if they and their family are ok. I would go out today and look around and see which shop reopen and would book for a dinner one night if they are reopen for doing so. I would come back home And would call my close friends and catch up about the day; share experience what we had been or seen today, talk about future plan, talk about funny experience or memory in the past. At the end of the day I would feel less lonely/ isolated. ",High
244,Try to find similar interest groups and make time to explore or attend meetings. Try to put it out there that I need to make friends locally. Volunteer at something that involves utilising my skills. Engage and be open to engaging. Join the group if it suits. Maybe walk a dog for someone. Help my son and his wife look after their dog.,Medium
753,Someone who suffers social anxiety this is a daily thing. Trying to make the steps towards connecting with people is difficult. I normally start by texting with people first to make that connection and depending on how im feeling and if im coping with that level of connection ill then take the steps to connect in person by maybe arranging a walk or meet for a coffee. I dont always follow through with my plans but i do my best to follow through.,Low
1074,"I text my friends to ask what they're up to and we decide to hold a group call. It's awkward at first but we burst out laughing and then naturally begin talking about everything we've been up to and how our lives have changed. We talk about the new hobbies we've picked up, I show off some of the bread I baked and they are shocked and congratulate me. I feel proud and giddy seeing them again.",Medium
548,"I'm feeling isolated and lonely. I have not received any positive responses from all my job applications, my housemate is full busy with work and study whereas I'm feeling lonely and wasting my time.  I have not seen my parents more than 4 years ago.  I don't find much topics to talk about when I talk or see a friend face to face.  I wrote a message to a catholic community, hoping to receive some spiritual guidance and information about missionary work. So I applied for a volunteering role. I started reading a book about my career, however I question myself if I will have the opportunity again to pursuit my professional career.  I become addicted to documentaries from religious communities and those testimonies from people doing something useful in life, without the battle of unethical office work and hypocrisy. I would like to be part of a missionary group, where I could feel useful in life.  I received response from one of the communities to receive spiritual guidance, now I'm feeling more connected to people that stand with good values and do a great job for our communities.",Low
232,"I feel isolated and lonely and want to feel connected to others. 
Iâ€™d start by thinking about what I mean by this statement. Do I want to feel more connected etc with family or friends or colleagues or strangers? How much effort am I willing to make? What sort of connection do I want? Do I want or expect them to come to where I am or would I prefer to go to them or somewhere in between?
Based on my reflection/answers then Iâ€™d make a bit of a plan with options? 
Who first? Which group of people? Can I do/arrange multiple things? Research groups or places or organisations etc. 
Choices Iâ€™d like to make, compromises Iâ€™m willing to make. Things I donâ€™t want or compromises that I wonâ€™t make. 
Then Iâ€™d start taking action by contacting those people and having the conversations either by text, email, phone or by person. 
Iâ€™d try to firm up arrangements but maybe itâ€™s going to take a while. Iâ€™ll try not to take it personally if someone says no or disagrees with what Iâ€™m suggesting. Their life and wants arenâ€™t a reflection on me or how they feel about me. Iâ€™ll choose to accept their choices if it fits with mine or their choice not to get involved. 
Once arrangements have been made Iâ€™ll start to feel better. 
Iâ€™ll meet them and have an interesting and happy time. 
Iâ€™ll end up feeling happier that I made the effort and definitely feel more connected and closer to people. ",Low
103,"I would send a message to my friends online (probably on the messaging app Discord as that's what we normally use to talk to each other. It allows for voice and video calls as well as screen sharing so we can play games together whilst chatting). I'd ask if we can all hang out, suggesting a specific time. I find if I don't give a specific time, people often don't join the call. I think this is due to differences in everyone's schedules - different people are generally online at different times so without a scheduled hangout its hard to get many people together. After organising a time, I would also give a specific activity we could do (for example, watching a movie together on Netflix using Netflix Party). This also helps people get involved. I find my friends take more active steps to be involved in the hangout if there's a specific goal we're going to achieve. Hanging out like this online, interacting with my friends is my most typical approach to striving to feel connected and less isolated. Due to both my own social distancing and the geographical distance due to me moving further away from majority of my friends, it's otherwise difficult to feel connected.",High
1109,I would reach out to friends and family to feel less isolated and lonely. I would organise facetime calls for family and friends that I cannot visit due to restrictions. I would arrange to meet for exercise or coffee while practising social distancing with friends that are within the allowed travel distances. I would talk to close friends and family about my feelings of isolation and loneliness as many of them can probably relate and together we would be able to come up with solutions to help feel more connected and closer. I would also volunteer for the care army to meet people within the community and connect with new people to broaden my connections and increase my social interactions.,High
500,"I need to start making plans to meet up with friends as soon as it's possible. call people or video with people I haven' seen in a while and make plans to meet.
Reconnect with my activity groups to get ready for when we can start doing things together again",Low
301,"Lighting all my candles and relaxing on the lounge or balcony with my favourite music playing, I might possibly have a wine depending on time of day, or a sparkling water with lime. I would grab my notebook (or my Notes in iPhone) and make a list of the family and friends I hadn't spoken to or seen for the last couple of months. I would sort them into the family/friends to phone for a chat or arrange a catch-up, and family/friends to message via Messenger/text. Then I'd call the family/friends I'd decided to contact and catch-up on our lives and health, offering assistance, if needed. Where possible, I'd try to arrange a future catch-up, be it a walk along the river, or a coffee/brunch/lunch/dinner at each other's homes. I'd tick off the people I've made contact with and continue through the list when practicable, updating my calendar with the scheduled catch-ups. I would feel very happy to have re-connected with family/friends and be looking forward to seeing them in the near future.",High
790,"Today Iâ€™m feeling a bit on my own and itâ€™s not a nice way to spend a day, but I need to stay home. Ok. So how to deal with this? I could phone a friend, text my daughter, do FaceTime with my Gâ€™kids - no, theyâ€™re at school, thatâ€™s no good - prepare Contemplative Evensong and work out how to do both a Zoom service and a face-to-face when we can, send Ian a song to listen to, listen to Will and Heidiâ€™s Praise service, chat to my son when he comes out of his room for a coffee. I should phone the people on my pastoral list, but that takes some intestinal fortitude because theyâ€™re likely to be miserable - one will be at the doctors, and the other at work. I could text the other three? Maybe Iâ€™ll just read Esmeâ€™s book and get that back to her. One, or all, of those.",High
735,"1.  I would mentally try to change my attitude first.  
2.  If I reach out to others, my negative attitude will show through.
3.  I would phone friends & acquaintences who live near me to see how they are feeling.  
4.  I would ask them if there was anything I could do for them.
5.  And within a few days, these friends & acquaintenances are reciprocating by contacting me and suddenly I feel much more connected and closer to people, just by taking the first step. ",Medium
942,"As a remedy for feeling isolated and lonely, I would think about who else I know that would be experiencing similar feelings.  While I am feeling ok, I am aware of a couple of friends who are feeling a bit down and decide to give them a call.  As the result of a phone call, we arrange to meet face to face in an outdoor setting and spend quite some time over a coffee catching up with each others lives.  As a result of this encounter, we have made arrangements to meet regularly to walk together and increase our fitness levels.",Medium
992,"I feel lonely as I donâ€™t get to have a good conversation with people other than my family 
Now we can meet 10 people I gave arranged for neighbours to meet in complex yard for afternoon tea.  I feel good to gave a chat with other people",Low
490,"First I would think about who I want to speak to and who would make me feel better and want to talk to me.  I would go through my phone and see who would be available and not busy at work. Then ring the first person on my list and go through until I reach someone who wants to talk. Talking about what they are doing and try and keep the subject upbeat and happy.  What they and I have been doing, exercise, books, do they need anything.  Planning ahead to future outings.  After I feel uplifted I can hang up the phone.",Low
1225,"I would think about who I know and identify those that might be feeling the same.  I would then try contacting them via text, phone, social media etc to chat.  After we connected I would then think through what we have in common and suggest a virtual catch up engaging via a video chat over whatever it is we have in common, i.e. it might be cooking, so we could have a virtual dinner party, it might be enjoying a glass of champagne so we could both buy the same bottle and enjoy it together at the same time via a video call.  It might be walking by the water and we can chat whilst we go for a walk.  This way I can feel reconnected to others, not just by phone which isn't always enough, but also by seeing them, even if we can't be in the same location or touch.",High
1166,I will set aside the time to call my closest friends who I always enjoy being with.  I will go into my study and sit down and phone my friend. I will talk about the happier things I have been doing and ask my friend what they have been doing.  I will feel connected with my friend as we talk about the things we enjoy doing.,Low
1010,"Firstly I would work out the people who I would like to connect with. In my example these would be the people I regularly volunteer with but don't at the moment. I wouldn't pick out any particular person, but would send a text message to everyone just to touch base with them. If I get a positive feedback from certain people, I would continue regular texting just them and perhaps follow up with a phone call.",Medium
691,"I wonder how I could connect with other people. Maybe join a gym or an interest group like a craft group. I would have to make the effort to go there, but being a shift worker can be tricky as usually my shifts always clash with the timings. Maybe I could swap my shifts to go. I would persevere  and start talking to people but I still don't feel connected to people I still feel on the outer. I would like to be more accepted I try but it just doesn't work. So I just go to work where I feel appreciated",Medium
454,"1. I live in a regional area and often we donâ€™t see many people anyway, but itâ€™s been worse since covid. My husband is still working and works long hours. My children are home schooling. I miss chatting to other people throughout the day. 

2. I feel isolated as I do not have any suitable devices I can call my own to communicate. 

3. I bought a laptop over the phone from a local shop and they delivered it to me. I have been thinking about it for weeks. 

4. It is mine!! I feel connected. Even though I am not on Facebook anymore as it was ironically making me feel negative, and it was a time-stealer, I now know the wonders of Zoom snd whatsapp and Emails! ",Medium
