"Participant","Duration.x","Date.x","Image_Action.x","Image_People.x","Image_Emotion.x","Image_Vivid.x","Rater2.x","Q1","Q2","Q3","Q4","Q1.new","Q2.new","Q3.new","Q4.new","Steps","Effective","Concrete","Emotion"
26,559,"19/04/2020 3:56","Sometimes","Sometimes","Sometimes","Dim & vague, flat","",4,3,4,3,4,3,4,3,4,3,4,3
27,1305,"19/04/2020 5:50","About half the time","About half the time","About half the time","Perfectly clear and lively as real seeing","",6,4,2,3,6,4,2,3,6,4,2,3
28,1150,"19/04/2020 8:05","Not at all","Sometimes","Sometimes","Dim & vague, flat","",5,3,5,5,5,3,5,5,5,3,5,5
29,893,"19/04/2020 9:07","Not at all","Sometimes","Sometimes","Clear and lively","",3,4,2,4,3,4,2,4,3,4,2,4
30,2172,"19/04/2020 9:25","About half the time","Most of the time","Sometimes","Moderately clear and lively","KH",5,5,5,5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
31,833,"19/04/2020 9:36","Sometimes","Sometimes","Sometimes","Dim & vague, flat","",3,3,2,3,3,3,2,3,3,3,2,3
32,606,"19/04/2020 15:47","Sometimes","All/almost all of the time","About half the time","Moderately clear and lively","",1,1,3,2,1,1,3,2,1,1,3,2
33,1497,"19/04/2020 18:15","Sometimes","All/almost all of the time","Sometimes","Perfectly clear and lively as real seeing","",0,1,1,1,0,1,1,1,0,1,1,1
34,1072,"19/04/2020 21:22","Sometimes","Sometimes","Sometimes","Dim & vague, flat","",0,0,1,2,0,0,1,2,0,0,1,2
35,1589,"19/04/2020 21:28","Sometimes","Most of the time","About half the time","Moderately clear and lively","",2,3,1,1,2,3,1,1,2,3,1,1
36,1319,"19/04/2020 21:38","Not at all","Most of the time","All/almost all of the time","Dim & vague, flat","",4,2,2,3,4,2,2,3,4,2,2,3
37,2459,"20/04/2020 0:26","About half the time","Most of the time","Most of the time","Clear and lively","",5,5,4,3,5,5,4,3,5,5,4,3
38,6504,"20/04/2020 7:02","Most of the time","All/almost all of the time","About half the time","Clear and lively","",5,4,4,3,5,4,4,3,5,4,4,3
39,790,"20/04/2020 18:45","About half the time","About half the time","About half the time","Clear and lively","",0,0,0,0,0,0,0,0,0,0,0,0
40,1458,"20/04/2020 19:10","Not at all","Sometimes","Most of the time","Dim & vague, flat","",4,4,3,3,4,4,3,3,4,4,3,3
41,1865,"20/04/2020 19:21","Sometimes","Not at all","Not at all","Perfectly clear and lively as real seeing","CP",5,4,3,4,2.5,2,1.5,2,2.5,2,1.5,2
42,642,"20/04/2020 23:15","Not at all","Sometimes","Sometimes","No image at all, you only “know” that you are thinking of the object","",0,0,0,0,0,0,0,0,0,0,0,0
43,4264,"21/04/2020 2:18","Sometimes","Sometimes","Sometimes","Perfectly clear and lively as real seeing","",3,4,5,4,3,4,5,4,3,4,5,4
44,3766,"21/04/2020 3:06","Sometimes","About half the time","Sometimes","Moderately clear and lively","CP",10,8,7,7,5,4,3.5,3.5,5,4,3.5,3.5
45,803,"21/04/2020 6:08","All/almost all of the time","All/almost all of the time","Not at all","Perfectly clear and lively as real seeing","",6,4,3,4,6,4,3,4,6,4,3,4
46,2143,"21/04/2020 8:52","Sometimes","About half the time","About half the time","Moderately clear and lively","",6,4,3,4,6,4,3,4,6,4,3,4
47,578,"21/04/2020 10:35","Sometimes","All/almost all of the time","Sometimes","Moderately clear and lively","",2,2,2,3,2,2,2,3,2,2,2,3
48,85098,"21/04/2020 19:45","Sometimes","About half the time","Sometimes","Moderately clear and lively","",3,2,3,5,3,2,3,5,3,2,3,5
49,1642,"21/04/2020 20:51","Not at all","About half the time","About half the time","Moderately clear and lively","",0,0,0,0,0,0,0,0,0,0,0,0
50,5964,"21/04/2020 21:48","Most of the time","Not at all","Most of the time","Clear and lively","JL",6,6,6,6,3,3,3,3,3,3,3,3
51,1991,"21/04/2020 22:12","Sometimes","About half the time","Sometimes","Clear and lively","",3,4,5,4,3,4,5,4,3,4,5,4
52,561,"22/04/2020 20:05","All/almost all of the time","All/almost all of the time","All/almost all of the time","Moderately clear and lively","KH",2,2,3,3,1,1,1.5,1.5,1,1,1.5,1.5
53,1915,"23/04/2020 1:24","Sometimes","About half the time","About half the time","Dim & vague, flat","",7,5,5,4,7,5,5,4,7,5,5,4
54,2175,"23/04/2020 17:54","Most of the time","All/almost all of the time","Most of the time","Clear and lively","",0,0,0,0,0,0,0,0,0,0,0,0
55,23,"23/04/2020 21:40","","","","","",0,0,0,0,0,0,0,0,0,0,0,0
56,336,"24/04/2020 9:22","","","","","",0,0,0,0,0,0,0,0,0,0,0,0
57,2111,"24/04/2020 20:41","Most of the time","About half the time","Most of the time","Clear and lively","",0,0,0,0,0,0,0,0,0,0,0,0
58,88,"25/04/2020 1:17","","","","","",0,0,0,0,0,0,0,0,0,0,0,0
59,119,"25/04/2020 4:44","","","","","",0,0,0,0,0,0,0,0,0,0,0,0
60,948,"25/04/2020 13:41","About half the time","About half the time","About half the time","Clear and lively","",4,3,3,3,4,3,3,3,4,3,3,3
61,2552,"26/04/2020 17:29","About half the time","Most of the time","Sometimes","Dim & vague, flat","",5,3,2,4,5,3,2,4,5,3,2,4
62,70198,"27/04/2020 20:12","","","","","",0,0,0,0,0,0,0,0,0,0,0,0
63,1538,"28/04/2020 19:43","Sometimes","Most of the time","All/almost all of the time","Clear and lively","",6,5,5,4,6,5,5,4,6,5,5,4
64,6533,"5/05/2020 0:22","About half the time","Most of the time","Most of the time","Clear and lively","",2,2,3,3,2,2,3,3,2,2,3,3
65,1044,"5/05/2020 3:20","Sometimes","Sometimes","Sometimes","No image at all, you only “know” that you are thinking of the object","",2,2,4,3,2,2,4,3,2,2,4,3
66,1621,"5/05/2020 17:42","About half the time","About half the time","About half the time","Moderately clear and lively","",4,4,4,4,4,4,4,4,4,4,4,4
67,501,"5/05/2020 21:59","About half the time","Most of the time","About half the time","Clear and lively","",2,2,2,3,2,2,2,3,2,2,2,3
68,895,"6/05/2020 1:13","Most of the time","All/almost all of the time","Most of the time","Clear and lively","",0,0,0,0,0,0,0,0,0,0,0,0
69,4413,"6/05/2020 2:54","Sometimes","About half the time","Most of the time","Clear and lively","",6,5,4,4,6,5,4,4,6,5,4,4
70,82,"7/05/2020 1:01","Sometimes","About half the time","Not at all","Perfectly clear and lively as real seeing","",0,1,1,0,0,1,1,0,0,1,1,0
71,868,"7/05/2020 17:11","Most of the time","All/almost all of the time","All/almost all of the time","Clear and lively","JL",11,8,8,7,5.5,4,4,3.5,5.5,4,4,3.5
72,882,"8/05/2020 4:11","About half the time","Most of the time","Most of the time","Dim & vague, flat","",3,2,2,2,3,2,2,2,3,2,2,2
73,1735,"8/05/2020 5:00","Not at all","Not at all","Not at all","No image at all, you only “know” that you are thinking of the object","",1,2,1,1,1,2,1,1,1,2,1,1
74,623,"8/05/2020 7:09","Most of the time","Most of the time","Sometimes","Clear and lively","",1,2,2,3,1,2,2,3,1,2,2,3
75,664,"8/05/2020 13:47","Sometimes","Most of the time","Not at all","Clear and lively","",3,3,2,3,3,3,2,3,3,3,2,3
76,1278,"8/05/2020 17:22","Not at all","Not at all","Not at all","No image at all, you only “know” that you are thinking of the object","JS",1,1,2,3,0.5,0.5,1,1.5,0.5,0.5,1,1.5
77,813,"8/05/2020 18:12","Most of the time","Most of the time","Most of the time","Clear and lively","",6,3,2,3,6,3,2,3,6,3,2,3
78,961,"8/05/2020 18:38","About half the time","About half the time","About half the time","Moderately clear and lively","",5,3,2,3,5,3,2,3,5,3,2,3
79,2229,"8/05/2020 19:05","Not at all","All/almost all of the time","About half the time","Moderately clear and lively","",7,4,3,3.5,7,4,3,3.5,7,4,3,3.5
80,944,"8/05/2020 20:19","Sometimes","Most of the time","About half the time","Moderately clear and lively","",3,3,2,4,3,3,2,4,3,3,2,4
81,9491,"8/05/2020 21:44","Most of the time","Not at all","Sometimes","Clear and lively","AM",4,5,9,9,2,2.5,4.5,4.5,2,2.5,4.5,4.5
82,384,"8/05/2020 21:48","Most of the time","Most of the time","Sometimes","Clear and lively","",0,0,0,0,0,0,0,0,0,0,0,0
83,829,"8/05/2020 22:54","","","","","",0,0,0,0,0,0,0,0,0,0,0,0
84,777,"8/05/2020 23:43","Sometimes","About half the time","About half the time","Moderately clear and lively","",3,3,3,3,3,3,3,3,3,3,3,3
85,352,"9/05/2020 0:03","Sometimes","Most of the time","Most of the time","Moderately clear and lively","",1,2,1,4,1,2,1,4,1,2,1,4
86,3071,"9/05/2020 0:14","Sometimes","Sometimes","Sometimes","Clear and lively","",9,4,4,4,9,4,4,4,9,4,4,4
87,1119,"9/05/2020 0:30","Sometimes","All/almost all of the time","Most of the time","Clear and lively","",0,0,0,0,0,0,0,0,0,0,0,0
88,1208,"9/05/2020 0:54","Not at all","About half the time","Not at all","No image at all, you only “know” that you are thinking of the object","",2,1,1,5,2,1,1,5,2,1,1,5
89,983,"9/05/2020 1:10","Sometimes","About half the time","Sometimes","Clear and lively","",3,3,3,3,3,3,3,3,3,3,3,3
90,2475,"9/05/2020 1:19","Sometimes","Sometimes","Not at all","Dim & vague, flat","CP",11,7,7,6,5.5,3.5,3.5,3,5.5,3.5,3.5,3
91,811,"9/05/2020 1:28","Not at all","Not at all","Not at all","No image at all, you only “know” that you are thinking of the object","",1,3,3,3,1,3,3,3,1,3,3,3
92,1031,"9/05/2020 1:34","Most of the time","Most of the time","All/almost all of the time","Clear and lively","",4,3,2,5,4,3,2,5,4,3,2,5
93,1057,"9/05/2020 1:35","Sometimes","Not at all","Sometimes","Moderately clear and lively","",2,3,3,3,2,3,3,3,2,3,3,3
94,715,"9/05/2020 1:37","All/almost all of the time","All/almost all of the time","All/almost all of the time","Perfectly clear and lively as real seeing","",1,2,1,4,1,2,1,4,1,2,1,4
95,1140,"9/05/2020 1:49","About half the time","About half the time","About half the time","Moderately clear and lively","",4,3,3,4,4,3,3,4,4,3,3,4
96,5529,"9/05/2020 2:40","Most of the time","Most of the time","Most of the time","Clear and lively","",4,4,4,4,4,4,4,4,4,4,4,4
97,1474,"9/05/2020 2:45","About half the time","About half the time","Most of the time","Clear and lively","",5,4,5,2,5,4,5,2,5,4,5,2
98,1353,"9/05/2020 3:08","Sometimes","Not at all","Sometimes","Clear and lively","LL",3,3,2,4,1.5,1.5,1,2,1.5,1.5,1,2
99,1188,"9/05/2020 3:40","Sometimes","Most of the time","All/almost all of the time","Clear and lively","",3,4,4,3,3,4,4,3,3,4,4,3
100,1025,"9/05/2020 3:48","About half the time","Not at all","Not at all","Clear and lively","",0,0,0,0,0,0,0,0,0,0,0,0
101,1819,"9/05/2020 4:13","Sometimes","Most of the time","About half the time","Moderately clear and lively","",1,1,2,1,1,1,2,1,1,1,2,1
102,994,"9/05/2020 4:27","Not at all","Not at all","Not at all","No image at all, you only “know” that you are thinking of the object","AM",9,7,6,6,4.5,3.5,3,3,4.5,3.5,3,3
103,1283,"9/05/2020 4:40","Not at all","Most of the time","All/almost all of the time","Dim & vague, flat","",2,3,3,3,2,3,3,3,2,3,3,3
104,1473,"9/05/2020 4:59","Not at all","All/almost all of the time","Most of the time","Clear and lively","",3,3,4,3,3,3,4,3,3,3,4,3
105,1071,"9/05/2020 5:08","About half the time","All/almost all of the time","Most of the time","Clear and lively","",2,3,5,4,2,3,5,4,2,3,5,4
106,1122,"9/05/2020 5:30","Most of the time","About half the time","Not at all","Moderately clear and lively","",4,4,4,3,4,4,4,3,4,4,4,3
107,1975,"9/05/2020 5:45","All/almost all of the time","All/almost all of the time","All/almost all of the time","Clear and lively","",4,3,2,3,4,3,2,3,4,3,2,3
108,1325,"9/05/2020 5:48","About half the time","Most of the time","Sometimes","Moderately clear and lively","",0,0,0,0,0,0,0,0,0,0,0,0
109,2111,"9/05/2020 6:12","Not at all","About half the time","Sometimes","No image at all, you only “know” that you are thinking of the object","",6,5,4,4,6,5,4,4,6,5,4,4
110,9803,"9/05/2020 6:21","Not at all","Most of the time","Sometimes","Moderately clear and lively","LL",2,3,4,3,1,1.5,2,1.5,1,1.5,2,1.5
111,4572,"9/05/2020 6:34","Sometimes","All/almost all of the time","Most of the time","Moderately clear and lively","",0,0,0,0,0,0,0,0,0,0,0,0
112,854,"9/05/2020 6:51","Sometimes","Most of the time","Sometimes","Moderately clear and lively","",4,3,2,3.5,4,3,2,3.5,4,3,2,3.5
113,696,"9/05/2020 6:59","Not at all","About half the time","Sometimes","Moderately clear and lively","",0,0,0,0,0,0,0,0,0,0,0,0
114,851,"9/05/2020 7:10","About half the time","About half the time","Sometimes","Moderately clear and lively","",4,3,3,3,4,3,3,3,4,3,3,3
115,3516,"9/05/2020 7:25","About half the time","Most of the time","Most of the time","Moderately clear and lively","JL",5,6,6,6,2.5,3,3,3,2.5,3,3,3
116,2348,"9/05/2020 7:46","Sometimes","Most of the time","Most of the time","Moderately clear and lively","LL",4,4,4,3,2,2,2,1.5,2,2,2,1.5
117,804,"9/05/2020 15:17","About half the time","Most of the time","Most of the time","Clear and lively","",1,4,2,5,1,4,2,5,1,4,2,5
118,1384,"9/05/2020 15:20","About half the time","About half the time","About half the time","Moderately clear and lively","",5,5,4,5,5,5,4,5,5,5,4,5
119,1217,"9/05/2020 16:41","Not at all","Most of the time","About half the time","Moderately clear and lively","",8,1,2,4,8,1,2,4,8,1,2,4
120,1422,"9/05/2020 16:46","Sometimes","Most of the time","Sometimes","No image at all, you only “know” that you are thinking of the object","",5,3,3,5,5,3,3,5,5,3,3,5
121,908,"9/05/2020 17:47","About half the time","Most of the time","All/almost all of the time","Moderately clear and lively","",3,3,3,2,3,3,3,2,3,3,3,2
122,925,"9/05/2020 19:04","About half the time","Sometimes","Not at all","Moderately clear and lively","",3,4,4,4,3,4,4,4,3,4,4,4
123,571,"9/05/2020 19:37","About half the time","About half the time","About half the time","Clear and lively","",2,3,3,3,2,3,3,3,2,3,3,3
124,856,"9/05/2020 19:38","Most of the time","Most of the time","About half the time","Moderately clear and lively","",2,3,2.5,4,2,3,2.5,4,2,3,2.5,4
125,933,"9/05/2020 19:50","Not at all","Sometimes","About half the time","Moderately clear and lively","JL",5,6,8,6,2.5,3,4,3,2.5,3,4,3
126,1173,"9/05/2020 20:19","About half the time","Sometimes","About half the time","No image at all, you only “know” that you are thinking of the object","",2,3,3,4,2,3,3,4,2,3,3,4
127,382,"9/05/2020 20:31","Not at all","Not at all","Not at all","No image at all, you only “know” that you are thinking of the object","",0,0,0,0,0,0,0,0,0,0,0,0
128,1917,"9/05/2020 22:54","All/almost all of the time","All/almost all of the time","Most of the time","Moderately clear and lively","",2,3,2,4,2,3,2,4,2,3,2,4
129,1183,"9/05/2020 23:24","About half the time","Sometimes","Sometimes","Clear and lively","",3,3,4,3,3,3,4,3,3,3,4,3
130,1167,"10/05/2020 0:06","Most of the time","All/almost all of the time","All/almost all of the time","Clear and lively","LL",2,3,2,3,1,1.5,1,1.5,1,1.5,1,1.5
131,902,"10/05/2020 0:25","Sometimes","About half the time","Most of the time","Moderately clear and lively","",0,0,0,0,0,0,0,0,0,0,0,0
132,2086,"10/05/2020 1:16","About half the time","Most of the time","About half the time","Moderately clear and lively","",4,5,2,5,4,5,2,5,4,5,2,5
133,1132,"10/05/2020 2:17","Sometimes","All/almost all of the time","Most of the time","Perfectly clear and lively as real seeing","",3,4,4,4,3,4,4,4,3,4,4,4
134,2211,"10/05/2020 2:38","Most of the time","Most of the time","All/almost all of the time","Clear and lively","",3,4,5,2,3,4,5,2,3,4,5,2
135,760,"10/05/2020 2:53","Most of the time","About half the time","About half the time","Moderately clear and lively","CP",6,5,6,6,3,2.5,3,3,3,2.5,3,3
136,1167,"10/05/2020 3:27","Sometimes","Sometimes","About half the time","Moderately clear and lively","",2,3,2,3,2,3,2,3,2,3,2,3
137,3115,"10/05/2020 3:32","Most of the time","About half the time","Sometimes","Perfectly clear and lively as real seeing","",5,3,4,3,5,3,4,3,5,3,4,3
138,1902,"10/05/2020 5:01","Sometimes","About half the time","Sometimes","Dim & vague, flat","",5,3,1,4,5,3,1,4,5,3,1,4
139,3030,"10/05/2020 5:28","Sometimes","Sometimes","Sometimes","Moderately clear and lively","JL",13,9,8,10,6.5,4.5,4,5,6.5,4.5,4,5
140,824,"10/05/2020 17:39","All/almost all of the time","All/almost all of the time","All/almost all of the time","Perfectly clear and lively as real seeing","LL",3,3,2,4,1.5,1.5,1,2,1.5,1.5,1,2
141,1126,"10/05/2020 18:08","Sometimes","Sometimes","Sometimes","Clear and lively","",3,2,2,3,3,2,2,3,3,2,2,3
142,1255,"10/05/2020 19:27","Sometimes","Sometimes","About half the time","Dim & vague, flat","",0,0,0,0,0,0,0,0,0,0,0,0
143,4346,"10/05/2020 19:53","Most of the time","About half the time","About half the time","Dim & vague, flat","",3,2,2,3,3,2,2,3,3,2,2,3
144,236,"10/05/2020 19:53","Not at all","Not at all","Not at all","No image at all, you only “know” that you are thinking of the object","",1,1,2,1,1,1,2,1,1,1,2,1
145,1378,"10/05/2020 20:13","Most of the time","Most of the time","Most of the time","Clear and lively","AM",12,8,7,6.5,6,4,3.5,3.25,6,4,3.5,3.25
146,2606,"10/05/2020 20:43","Sometimes","About half the time","Most of the time","Perfectly clear and lively as real seeing","",0,0,0,0,0,0,0,0,0,0,0,0
147,916,"10/05/2020 20:52","Not at all","Not at all","Not at all","No image at all, you only “know” that you are thinking of the object","",1,2,2,3,1,2,2,3,1,2,2,3
148,1071,"10/05/2020 21:47","Most of the time","Most of the time","Most of the time","Moderately clear and lively","",3,2,1,3,3,2,1,3,3,2,1,3
149,1005,"10/05/2020 22:42","Sometimes","Sometimes","Sometimes","Clear and lively","LL",3,4,4,3,1.5,2,2,1.5,1.5,2,2,1.5
150,1649,"10/05/2020 23:30","Not at all","Not at all","Sometimes","No image at all, you only “know” that you are thinking of the object","KH",3,3,4,3,1.5,1.5,2,1.5,1.5,1.5,2,1.5
151,1026,"11/05/2020 4:43","Sometimes","About half the time","Sometimes","Clear and lively","",4,3,2,3,4,3,2,3,4,3,2,3
152,2980,"11/05/2020 5:14","Sometimes","Most of the time","Most of the time","Perfectly clear and lively as real seeing","",5,5,5,4,5,5,5,4,5,5,5,4
153,1749,"11/05/2020 6:37","Not at all","Not at all","Not at all","Moderately clear and lively","",2,3,1,4,2,3,1,4,2,3,1,4
154,35464,"11/05/2020 6:54","Most of the time","All/almost all of the time","Most of the time","Clear and lively","",8,5,4,4,8,5,4,4,8,5,4,4
155,683,"11/05/2020 16:26","Sometimes","Most of the time","Sometimes","Dim & vague, flat","CP",10,7,7,6,5,3.5,3.5,3,5,3.5,3.5,3
156,379,"11/05/2020 16:33","About half the time","Sometimes","Most of the time","Moderately clear and lively","",0,1,1,1,0,1,1,1,0,1,1,1
157,1043,"11/05/2020 16:33","About half the time","About half the time","Sometimes","Clear and lively","",4,3,3,3,4,3,3,3,4,3,3,3
158,995,"11/05/2020 16:46","Sometimes","Most of the time","About half the time","Moderately clear and lively","",2,3,2,3,2,3,2,3,2,3,2,3
159,1320,"11/05/2020 16:47","All/almost all of the time","Most of the time","Most of the time","Perfectly clear and lively as real seeing","",3,2,2,2,3,2,2,2,3,2,2,2
160,940,"11/05/2020 16:53","About half the time","About half the time","Sometimes","Clear and lively","",2,4,2,4,2,4,2,4,2,4,2,4
161,882,"11/05/2020 16:55","Not at all","Not at all","Not at all","No image at all, you only “know” that you are thinking of the object","JL",2,3,3,3,1,1.5,1.5,1.5,1,1.5,1.5,1.5
162,1744,"11/05/2020 17:09","Sometimes","Sometimes","Sometimes","Moderately clear and lively","",0,0,0,0,0,0,0,0,0,0,0,0
163,892,"11/05/2020 17:37","About half the time","Most of the time","All/almost all of the time","Perfectly clear and lively as real seeing","",4,3,3,3,4,3,3,3,4,3,3,3
164,882,"11/05/2020 17:42","About half the time","About half the time","Sometimes","Moderately clear and lively","CP",9,9,8,6,4.5,4.5,4,3,4.5,4.5,4,3
165,1822,"11/05/2020 17:57","About half the time","About half the time","About half the time","Moderately clear and lively","",1,2,3,3,1,2,3,3,1,2,3,3
166,1066,"11/05/2020 18:04","Not at all","Not at all","About half the time","Clear and lively","",0,0,0,0,0,0,0,0,0,0,0,0
167,2779,"11/05/2020 18:05","Most of the time","Most of the time","Most of the time","Perfectly clear and lively as real seeing","",10,5,5,3,10,5,5,3,10,5,5,3
168,2619,"11/05/2020 18:05","About half the time","Sometimes","Sometimes","Clear and lively","",5,4,5,5,5,4,5,5,5,4,5,5
169,1533,"11/05/2020 18:21","Not at all","Not at all","Not at all","No image at all, you only “know” that you are thinking of the object","",3,2,1,3,3,2,1,3,3,2,1,3
170,942,"11/05/2020 18:25","About half the time","About half the time","Sometimes","Dim & vague, flat","",4,3,3,4,4,3,3,4,4,3,3,4
171,1510,"11/05/2020 18:41","Not at all","Not at all","Not at all","Perfectly clear and lively as real seeing","",2,3,3,3,2,3,3,3,2,3,3,3
172,1284,"11/05/2020 18:42","All/almost all of the time","Most of the time","All/almost all of the time","Perfectly clear and lively as real seeing","",3,2,2,3,3,2,2,3,3,2,2,3
173,5874,"11/05/2020 18:50","About half the time","All/almost all of the time","Sometimes","Moderately clear and lively","",4,3.5,3,3,4,3.5,3,3,4,3.5,3,3
174,1217,"11/05/2020 18:56","Most of the time","All/almost all of the time","Most of the time","No image at all, you only “know” that you are thinking of the object","",4,2,2,2,4,2,2,2,4,2,2,2
175,1814,"11/05/2020 19:06","About half the time","Most of the time","Most of the time","Clear and lively","",6,5,4,5,6,5,4,5,6,5,4,5
176,1654,"11/05/2020 19:14","Sometimes","Sometimes","Most of the time","Perfectly clear and lively as real seeing","",2,4,2,5,2,4,2,5,2,4,2,5
177,1036,"11/05/2020 19:14","Not at all","Sometimes","Most of the time","Clear and lively","",3,3,3,3,3,3,3,3,3,3,3,3
178,1325,"11/05/2020 19:19","Sometimes","Sometimes","Sometimes","No image at all, you only “know” that you are thinking of the object","",4,4,3,3,4,4,3,3,4,4,3,3
179,3153,"11/05/2020 19:24","Most of the time","All/almost all of the time","Most of the time","Clear and lively","",0,0,0,0,0,0,0,0,0,0,0,0
180,2100,"11/05/2020 19:28","Most of the time","All/almost all of the time","Not at all","Moderately clear and lively","",6,3,3,3,6,3,3,3,6,3,3,3
181,1021,"11/05/2020 20:16","Most of the time","Most of the time","About half the time","Moderately clear and lively","",2,2.5,1,3,2,2.5,1,3,2,2.5,1,3
182,1655,"11/05/2020 20:22","Not at all","Sometimes","About half the time","No image at all, you only “know” that you are thinking of the object","",4,3,4,3,4,3,4,3,4,3,4,3
183,3037,"11/05/2020 20:25","Sometimes","About half the time","Most of the time","Perfectly clear and lively as real seeing","",1,2,3,3,1,2,3,3,1,2,3,3
184,1498,"11/05/2020 20:52","Most of the time","All/almost all of the time","All/almost all of the time","Moderately clear and lively","",5,4,5,5,5,4,5,5,5,4,5,5
185,485,"11/05/2020 20:54","Most of the time","Most of the time","Most of the time","Perfectly clear and lively as real seeing","",1,4,4,5,1,4,4,5,1,4,4,5
186,1529,"11/05/2020 20:55","About half the time","Most of the time","Most of the time","Moderately clear and lively","",4,4,3,2,4,4,3,2,4,4,3,2
187,842,"11/05/2020 20:56","Sometimes","About half the time","About half the time","Moderately clear and lively","",5,4,3.5,4,5,4,3.5,4,5,4,3.5,4
188,1110,"11/05/2020 21:02","Most of the time","Most of the time","Most of the time","Moderately clear and lively","CP",7,7,6,7,3.5,3.5,3,3.5,3.5,3.5,3,3.5
189,8491,"11/05/2020 21:06","Sometimes","All/almost all of the time","All/almost all of the time","Moderately clear and lively","",5,4,4,2,5,4,4,2,5,4,4,2
190,1133,"11/05/2020 21:08","Sometimes","About half the time","Sometimes","Clear and lively","",2,4,4,3,2,4,4,3,2,4,4,3
191,1058,"11/05/2020 21:18","Not at all","Most of the time","Most of the time","Perfectly clear and lively as real seeing","KH",6,5,3.5,4,3,2.5,1.75,2,3,2.5,1.75,2
